id,category,subcategory,question,slug,answer,answer_type,policies
141,Гуманітарна політика,Релігійна політика,"Хоч Україна і є світської державою, проте церква має найбільшу підтримку у потенційних виборців.",khoch_ukrayina_i_ie_svitskoyi_derzhavoiu_prote_tserkva_maie_naibilshu_pidtrimku_u_potentsiinikh_vibortsiv,Свобода віросповідання,checkbox,"Держава гарантуватиме дотримання принципу свободи совісті та свободи віросповідань. Релігійні організації є відокремленими від Держави. {Національний корпус}

Повноцінна реалізація прав релігійних громад за умови дотримання їх рівноправності. {Відродження}"
140,Гуманітарна політика,Національна та мовна політика,Національна та мовна політика,natsionalna_ta_movna_politika,Мовні квоти у ЗМІ,checkbox,"Регламентувати вживання української мови у ЗМІ відповідно до кількості українців ‒ не менше ніж 90% ефірного часу та площі. Друковані ЗМІ мовами національних меншин повинні видавати українську версію накладом не меншим за той, що видається мовою оригіналу. {Свобода}

Збільшити обов’язкові квоти ефірного часу на радіо та ТБ і екранного часу в кінопрокаті для виробленого в Україні україномовного аудіовізуального продукту і гарантувати його рівномірну присутність в етері впродовж доби. Запровадити жорстку кримінальну відповідальність за недотримання цих квот. {Свобода}"
139,Гуманітарна політика,Національна та мовна політика,Національна та мовна політика,natsionalna_ta_movna_politika,Єдина державна мова,checkbox,"Партія виступає за збе­реження статусу української мови, як єдиної державної на всій території України, аби зберегти фундаментальні речі, на яких три­мається кожна держава. {Батьківщина}

З метою поширення використання державної мови в інформаційному, освітньому, культурному просторах, у побуті і суспільних комунікаціях, всебічне сприяння має бути надане національним українським культурним індустріям, виробництву якісного україномовного інформаційного, культурного, освітнього продукту та його просуванню, в т. ч. – за допомогою новітніх технологій. {Народний фронт}

Єдиною державною мовою в Україні є українська мова, що є одним із головних атрибутів держави. Ми підтримуємо розвиток всіх інших мов у відповідності до Європейської хартії регіональних мов та мов громадян, що проживають на території нашої держави. {Аграрна партія}

Скасувати антиконституційний закон “Ківалова-Колєснічєнка”. Ухвалити Закон “Про захист української мови”. Створити окремий центральний орган виконавчої влади задля впровадження, захисту та поширення української мови. {Свобода}"
138,Гуманітарна політика,Національна та мовна політика,Національна та мовна політика,natsionalna_ta_movna_politika,Робота з діаспорою,checkbox,"Дипломатичні представництва України повинні бути політичними та культурними центрами життя українців за кордоном. Їхня діяльність має зосереджуватися на підтримці громадян нашої держави, а також емігрантів та етнічних українців. {БПП}

Співпраця зі світовим українством повинна бути стратегічним напрямом політики української держави. Не лише українство у світі повинно турбуватися  про нашу вітчизну, але й Україна дбатиме про своїх співвітчизників, яких доля змусила жити у чужих краях. {БПП}

Для тих українців, які бажають повернутися на рідну землю, держава має розробити та реалізувати Програму повернення українців на Батьківщину, передбачивши у ній створення реінтеграційних консультаційних центрів, сприятливих умов для розвитку малого та середнього бізнесу, зокрема у сфері агропромислового комплексу та ін. Для тих трудових мігрантів, які вирішать залишитися у країнах свого нинішнього проживання, необхідне втілення системи захисту їхніх прав за кордоном, зокрема реалізації їхніх виборчих прав, права на соціальний захист та пенсійне забезпечення. {БПП}

Ми повинні забезпечити дієву підтримку української діаспори, захист прав і свобод українців за кордоном, а також сприяти поверненню в Україну всіх бажаючих. {Аграрна партія}

Окремої уваги потребує розвиток та зв'язок із українськими діаспорами за кордоном. Саме за їх участі ми можемо створювати українські культурні та інформаційні центри, знайомити з нашими духовними та культурними цінностями та досягненнями в різних галузях, залучати молодь до роботи в Україні. {Аграрна партія}"
137,Гуманітарна політика,Культура,"""І чужого навчайтесь, й свого не чурайтесь"", — казав класик. Час подумати про вічне — про культуру.",i_chuzhogo_navchaites_i_svogo_ne_churaites_kazav_klasik_chas_podumati_pro_vichne_pro_kulturu,Збереження культури національних меншин,checkbox,"Держава має створити умови для розвитку української культури, забезпечення  статусу української мови як єдиної державної, а також забезпечувати розвиток культур національних меншин. Влада повинна захищати право на релігійне, культурне, мовне самовизначення всіх громадян. {БПП}

Виступаємо за дотримання світових стандартів в етнополітиці. Україна є мононаціональною державою, у якій завжди з повагою ставилися до людей іншого етнічного походження. Тому нашим завданням є захист прав та свобод представників всіх етносів, які населяють нашу країну, сприяння у дотриманні законодавства та міжурядових угод у цій сфері, запровадження спеціальних програм для підтримки розвитку наявних мов, традицій та культур. {Аграрна партія}

Хоча підтримка і розвиток спільної національної символьної основи (мови, системи цінностей, культурної спадщини) є пріоритетом культурної політики, держава має створити рівні умови та гарантії розвитку культури національних меншин. Культурне розмаїття – важлива особливість України, яка посилює  конкурентній комунікаційні можливості українського суспільства у світовому інформаційному і культурному просторі. {БПП}

Винести на всенародне обговорення проект закону про пропорційне представництво в органах виконавчої влади українців та представників етнічних меншин. {Свобода}"
136,Гуманітарна політика,Культура,"""І чужого навчайтесь, й свого не чурайтесь"", — казав класик. Час подумати про вічне — про культуру.",i_chuzhogo_navchaites_i_svogo_ne_churaites_kazav_klasik_chas_podumati_pro_vichne_pro_kulturu,Розвиток меценацтва,checkbox,"Створити сприятливі законодавчі умови для меценатства та заснування приватних фондів розвитку культури та збереження історико-культурної спадщини. {УКРОП}

Популяризація інституту меценатства для підтримки суспільно значимих проектів у сфері освіти, науки, екології, медицини, культури та спорту. {Громадянська позиція}

Лібералізація податкового законодавства щодо спонсорства та меценатства освіти, науки, культури і спорту. {Самопоміч}

Створити сприятливі умови для фінансування української культури та спорту шляхом спрощення системи оподаткування та створення пільг для спонсорів і меценатів. {Свобода}

Збереження архітектурної спадщини та культурно-історичного середовища визначається одним із стратегічних напрямків державної політики. Держава забезпечує збереження архітектурної спадщини та культурно-історичного середовища шляхом пошуку інвесторів для реставрації історичних пам’ятників за умови збереження відкритого суспільного доступу до них у майбутньому. {Національний корпус}

Звільнення від оподаткування меценатських внесків у культурні проекти. Гнучка система податкових та інших пільг для підприємств, які беруть участь у фінансуванні закладів культури. {Відродження}"
135,Гуманітарна політика,Культура,"""І чужого навчайтесь, й свого не чурайтесь"", — казав класик. Час подумати про вічне — про культуру.",i_chuzhogo_navchaites_i_svogo_ne_churaites_kazav_klasik_chas_podumati_pro_vichne_pro_kulturu,Підтримка музеїв,checkbox,"Прийняти державну програму модернізації музеїв і бібліотек та перетворення їх на центри сучасного культурного життя. {УКРОП}

Важливим завданням держави є модернізація та комп’ютеризація бібліотек, книжкових фондів, архівів. Історичні документи, книги, друковані періодичні видання мають бути переведені в цифровий формат та відкриті для дослідників й усіх зацікавлених у вивченні історії та культури українського народу. {БПП}

Закуповувати коштом бюджету національні твори літератури, образотворчого мистецтва, музики, кіно для поповнення фондів бібліотек, музеїв, фонотек, відеотек, репертуару театрів, музичних колективів тощо. {Свобода}

За рахунок держави створюється єдина база культурного спадку України: цифрові копії музейних експонатів (державних та приватних) та архівна документація. {Національний корпус}

Держава забезпечує розвиток культурно-освітнього туризму, історико-архітектурних заповідників, інфраструктури культурно-туристичних маршрутів місцевого та загальнонаціонального значення шляхом надання економічних стимулів. {Національний корпус}"
134,Гуманітарна політика,Культура,"""І чужого навчайтесь, й свого не чурайтесь"", — казав класик. Час подумати про вічне — про культуру.",i_chuzhogo_navchaites_i_svogo_ne_churaites_kazav_klasik_chas_podumati_pro_vichne_pro_kulturu,Підтримка українського культурного виробника,checkbox,"Від оподаткування повинні бути звільнені: усі види творчої діяльності (народне ремесло і handmade, художники, письменники і поети, театральні та музичні колективи тощо); книговидання; виробництво теле- та кінопродукції. {УКРОП}

Держава може фінансувати або дофінансовувати виробників українського культурного продукту. Розподіл державних коштів на культурні програми і проекти має відбуватися через прозорі відкриті конкурси. {БПП}

Скасувати оподаткування на україномовне книговидання, аудіо- та відеопродукцію, програмне забезпечення. {Свобода}

Спрямувати кожну шосту гривню з прибутку від прокату іноземної кінопродукції на розвиток вітчизняної кіноіндустрії. Встановити оподаткування на рекламу, яку транслюють під час показу фільмів іноземного виробництва, на користь національного кінематографу. {Свобода}

Надавати на конкурсній основі державні стипендії і ґранти на здійснення мистецьких проектів, створення національних творів літератури, образотворчого мистецтва, музики, кіно, вистав, концертних програм, телерадіопрограм тощо. {Свобода}

Держава підтримує українське видавництво. Книгарі та україномовні ЗМІ отримують податкові канікули. Підтримка україномовного кіно здійснюється Державою на конкурсній основі. {Національний корпус}"
133,Гуманітарна політика,Освіта та наука,"Хоч діти й не голосують, проте питання шкільної освіти — це те, що хвилює усіх батьків.",khoch_diti_i_ne_golosuiut_prote_pitannia_shkilnoyi_osviti_tse_te_shcho_khviliuie_usikh_batkiv,Ліквідація департаментів освіти і науки,checkbox,"Шкільний вчитель повинен бути звільнений від адміністративного диктату і зайвої звітності, пострадянську надбудову над школою (департаменти освіти та науки) буде демонтовано. {УКРОП}

Реформування системи управління та фінансового забезпечення освітніх закладів на місцевому рівні має призвести до ліквідації районних управлінь освіти, запровадження інституційно-фінансової автономії шкіл та шкільного самоуправління, посилення ролі місцевих громад та батьків в управлінні школою. {Аграрна партія}

Вертикаль обласних та районних освітніх адміністрацій скасовується. Інспекція якості викладання та умов для виховання надається державній інспекції навчальних закладів України. {Національний корпус}"
132,Гуманітарна політика,Освіта та наука,"Хоч діти й не голосують, проте питання шкільної освіти — це те, що хвилює усіх батьків.",khoch_diti_i_ne_golosuiut_prote_pitannia_shkilnoyi_osviti_tse_te_shcho_khviliuie_usikh_batkiv,Децентралізація освітніх адміністративних процесів,checkbox,"Втілення закону про освіту, контроль за роботою шкіл і якістю навчання будуть передані громадам. Під керівництвом Міністерства освіти і науки залишаться розробка програм і визначення критеріїв оцінки знань учнів, ліцензування освітніх установ і загальний контроль за діяльністю шкіл (перевірки раз на кілька років). {УКРОП}

Директори шкіл обиратимуться на конкурсній основі педагогічним колективом за обов’язкової участі батьківських комітетів. {УКРОП}

Розвиток мережі комітетів батьківського контролю при дитячих садочках, школах та інших навчальних закладах. Батьки – активні учасники процесу навчання дітей. {Наш край}

Громадський контроль у вигляді нагляду за діяльністю освітніх закладів має здійснюватися опікунськими радами. {Аграрна партія}

Шкільним закладам надається більше автономії в частині кадрового забезпечення та господарської діяльності. Вчителі мають займатися навчанням і вихованням, а не бюрократією. {Національний корпус}

Діяльність батьківських комітетів та інших громадських неприбуткових організацій при школах регламентується Законом. {Національний корпус}"
